nct_id,tier,influence,consequence,A_influence,A_consequence,B_influence,B_consequence,E_norm
NCT07121920,very_high,2,3,2,3,0,0,0.1333333333333333
NCT03952494,high,2,2,2,2,1,0,0.2666666666666666
NCT05041621,high,2,2,2,2,0,0,0.1333333333333333
NCT05284227,very_high,3,2,3,2,1,0,0.1333333333333333
NCT07424534,moderate,1,1,1,1,0,0,0.0666666666666666
NCT06971471,very_high,3,2,3,2,0,0,0.1333333333333333
NCT01454947,high,2,2,2,2,1,0,0.5333333333333333
NCT06162000,low,1,0,1,0,1,0,0.2666666666666666
NCT06939803,high,2,2,2,2,1,1,0.2666666666666666
NCT05923684,moderate,2,1,2,1,0,1,0.0666666666666666
NCT06782438,moderate,2,1,2,1,0,0,0.1333333333333333
NCT05194787,low,0,0,0,0,0,0,0.2
NCT07463833,high,3,1,3,1,2,1,0.1333333333333333
NCT05611151,very_high,3,3,3,3,0,0,0.2666666666666666
NCT04847089,moderate,1,2,1,2,0,0,0.1333333333333333
NCT01399710,high,2,2,2,2,1,0,0.1333333333333333
NCT06792110,very_high,3,3,3,3,0,0,0.1333333333333333
NCT06157515,moderate,2,0,2,0,0,0,0.1333333333333333
NCT05135884,low,0,0,0,0,0,0,0.0666666666666666
NCT06632028,very_high,3,2,3,2,0,1,0.2
NCT07160491,very_high,3,2,3,2,0,1,0.2
